Concentration (uM),1/Tau (Hz),Error (Hz)
3,3043.74092136766,461.536282973493
3,2203.88729313565,324.672310045006
10,2731.70894730361,689.020889074009
10,6932.70474031063,3603.80843924758
10,2114.04179981337,253.436967220902
30,3793.67736410485,602.726853959917
30,5974.0385022985,1850.04858789646
30,6139.35031300017,1026.21072215756
