Concentration (uM),1/Tau (Hz),Error (Hz)
30,42373.5493572783,9596.30186710744
100,54647.6430302473,5614.36576635902
100,41442.9457610688,6911.66470001897
10,35894.4792229108,4571.29019660375
100,42075.8025503078,3887.2015584639
100,45765.5758167902,5276.56503183374
30,38680.1473107977,4781.11776681137
30,49115.8799043498,7078.50078949773
30,33523.3391359045,7286.61224055148
100,37355.552892756,9939.58063400946
10,39159.8964954685,8427.47675134668
30,37813.0704454309,6603.457692162
